,time,Day_of_week,Sex_of_driver,Area_accident,Type_of_vehicle,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions
9945,16:55:00,Friday,Male,Other,Public (12 seats),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
9946,16:55:00,Friday,Male, Church areas,Other,other,No junction,Asphalt roads,Dry,Daylight,Normal
9947,16:55:00,Friday,Male,Office areas,Stationwagen,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
9948,16:55:00,Friday,Female,Other,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
9949,16:55:00,Friday,Female,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
9950,20:15:00,Monday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - no lighting,Normal
9951,20:15:00,Monday,Male,Office areas,Stationwagen,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - no lighting,Normal
9952,20:15:00,Monday,Male, Church areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal
9953,15:30:00,Tuesday,Male,Office areas,Public (> 45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
9954,20:17:00,Thursday,Male,Other,Automobile,Double carriageway (median),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
9955,20:17:00,Thursday,Male,Other,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
9956,13:07:00,Sunday,Male, Church areas,Automobile,Unknown,Crossing,Asphalt roads,Wet or damp,Daylight,Raining
9958,13:07:00,Sunday,Male, Church areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Daylight,Raining
9959,16:30:00,Tuesday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
9960,16:30:00,Tuesday,Male,Other,Automobile,other,Crossing,Asphalt roads,Dry,Daylight,Normal
9961,15:18:00,Monday,Male, Church areas,Stationwagen,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
9962,17:40:00,Wednesday,Male,Other,Public (12 seats),Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
9963,18:32:00,Tuesday,Male,Other,Public (12 seats),Double carriageway (median),No junction,Earth roads,Dry,Darkness - lights lit,Normal
9964,18:32:00,Tuesday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
9965,18:32:00,Tuesday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
9966,18:32:00,Tuesday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
9967,18:35:00,Saturday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
9968,18:35:00,Saturday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
9969,12:10:00,Friday,Male, Church areas,Lorry (41?100Q),One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
9971,15:08:00,Monday,Male,  Market areas,Automobile,other,Y Shape,Asphalt roads,Dry,Daylight,Unknown
9972,15:08:00,Monday,Male,Other,Stationwagen,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Unknown
9975,8:54:00,Thursday,Male,Residential areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
9976,16:51:00,Wednesday,Male,Other,Stationwagen,Undivided Two way,No junction,Earth roads,Dry,Daylight,Normal
9977,19:02:00,Saturday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
9978,19:02:00,Saturday,Male,Other,Other,Double carriageway (median),Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
9979,8:10:00,Monday,Male,  Recreational areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Fog or mist
9980,8:10:00,Monday,Male,  Recreational areas,Automobile,One way,Y Shape,Earth roads,Wet or damp,Daylight,Fog or mist
9981,17:50:00,Saturday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
9982,17:50:00,Saturday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
9983,20:51:00,Tuesday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy
9984,14:00:00,Saturday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
9985,14:00:00,Saturday,Male,Residential areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
9986,14:43:00,Friday,Male, Church areas,Public (13?45 seats),Double carriageway (median),Other,Asphalt roads,Dry,Daylight,Normal
9987,16:26:00,Tuesday,Male,Other,Public (13?45 seats),One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
9988,16:26:00,Tuesday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
9989,13:54:00,Saturday,Male,Other,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
9990,13:54:00,Saturday,Male,  Recreational areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
9991,13:54:00,Saturday,Male,Other,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
9992,15:31:00,Monday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Cloudy
9993,15:31:00,Monday,Male,Residential areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Cloudy
9994,12:30:00,Thursday,Male,Office areas,Other,One way,No junction,Asphalt roads,Wet or damp,Daylight,Normal
9995,18:45:00,Wednesday,Male,Office areas,Motorcycle,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
9996,18:45:00,Wednesday,Male, Church areas,Automobile,Double carriageway (median),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
9997,19:12:00,Tuesday,Male, Church areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
9998,17:25:00,Friday,Male,Residential areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
9999,17:25:00,Friday,Male,Other,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10000,12:48:00,Friday,Male,Other,Public (> 45 seats),other,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
10002,7:10:00,Friday,Male,Residential areas,Public (> 45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10003,17:10:00,Friday,Male,Office areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Normal
10004,17:10:00,Friday,Male,Residential areas,Lorry (41?100Q),Undivided Two way,No junction,Other,Wet or damp,Daylight,Normal
10005,17:10:00,Friday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Normal
10006,9:05:00,Friday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
10007,9:05:00,Friday,Male,  Recreational areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
10008,16:15:00,Wednesday,Male, Church areas,Stationwagen,One way,No junction,Asphalt roads,Dry,Daylight,Normal
10009,18:00:00,Sunday,Female,School areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10010,13:55:00,Sunday,Male,Office areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10012,13:55:00,Sunday,Male,Residential areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10013,13:55:00,Sunday,Male,Other,Public (13?45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10014,19:20:00,Sunday,Female,Other,Public (> 45 seats),other,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
10015,19:20:00,Sunday,Male,Office areas,Stationwagen,One way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
10017,11:58:00,Saturday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10018,12:53:00,Sunday,Male,Residential areas,Stationwagen,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
10019,12:53:00,Sunday,Male, Church areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10020,12:53:00,Sunday,Male,Residential areas,Public (12 seats),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10021,20:40:00,Friday,Male,Office areas,Lorry (41?100Q),One way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
10022,20:40:00,Friday,Male,Residential areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
10023,12:44:00,Tuesday,Male,Other,Stationwagen,One way,Crossing,Asphalt roads,Wet or damp,Daylight,Other
10024,12:44:00,Tuesday,Male, Industrial areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Daylight,Other
10025,8:50:00,Thursday,Male, Church areas,Public (> 45 seats),Two-way (divided with broken lines road marking),Y Shape,Gravel roads,Dry,Daylight,Normal
10026,8:50:00,Thursday,Male,Residential areas,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10029,15:33:00,Tuesday,Male,Office areas,Public (> 45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10031,18:20:00,Sunday,Male, Church areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10032,9:55:00,Monday,Male,Office areas,Pick up upto 10Q,other,No junction,Asphalt roads,Wet or damp,Daylight,Normal
10033,9:55:00,Monday,Male, Church areas,Public (12 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Normal
10034,20:16:00,Wednesday,Male,Office areas,Lorry (41?100Q),other,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10035,9:05:00,Monday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10036,9:05:00,Monday,Male,School areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10037,9:05:00,Monday,Female,Residential areas,Public (13?45 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10038,20:00:00,Wednesday,Male,Office areas,Lorry (41?100Q),other,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
10039,11:30:00,Tuesday,Male,Rural village areasOffice areas,Lorry (41?100Q),other,Crossing,Asphalt roads,Wet or damp,Daylight,Normal
10040,11:30:00,Tuesday,Male,Other,Motorcycle,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Daylight,Normal
10041,11:30:00,Tuesday,Male,Residential areas,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Wet or damp,Daylight,Normal
10042,11:30:00,Tuesday,Male,Office areas,Ridden horse,Undivided Two way,Crossing,Asphalt roads,Wet or damp,Daylight,Normal
10043,11:30:00,Tuesday,Male,Office areas,Automobile,Undivided Two way,Crossing,Gravel roads,Wet or damp,Daylight,Normal
10044,11:30:00,Tuesday,Male,Residential areas,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Wet or damp,Daylight,Normal
10045,11:30:00,Tuesday,Male,Office areas,Pick up upto 10Q,Undivided Two way,Crossing,Gravel roads,Wet or damp,Daylight,Normal
10046,14:00:00,Saturday,Male,Office areas,Public (> 45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10048,20:55:00,Friday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10049,20:55:00,Friday,Male,Other,Public (12 seats),Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10050,20:55:00,Friday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10051,20:55:00,Friday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10052,20:55:00,Friday,Male,Residential areas,Automobile,One way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10053,20:55:00,Friday,Female,School areas,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10054,19:07:00,Friday,Male,Residential areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
10055,19:07:00,Friday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
10056,23:22:00,Saturday,Male, Church areas,Public (12 seats),One way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10057,18:35:00,Thursday,Male,Other,Taxi,Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
10058,13:43:00,Monday,Male,Other,Automobile,One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10059,13:43:00,Monday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10060,8:40:00,Sunday,Male,Other,Stationwagen,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Normal
10061,8:40:00,Sunday,Female,Office areas,Stationwagen,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Normal
10062,8:28:00,Monday,Male,Office areas,Automobile,Two-way (divided with solid lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10063,8:28:00,Monday,Male,Residential areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10064,13:00:00,Saturday,Male,Office areas,Automobile,One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10065,13:00:00,Saturday,Male,Residential areas,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10066,16:35:00,Saturday,Male,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10067,16:35:00,Saturday,Male,Other,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10068,10:39:00,Wednesday,Male,Office areas,Lorry (41?100Q),One way,No junction,Asphalt roads,Wet or damp,Daylight,Raining
10069,12:55:00,Monday,Male,School areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10070,12:55:00,Monday,Female,Residential areas,Motorcycle,One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10072,15:20:00,Sunday,Male,Residential areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10073,15:20:00,Sunday,Male,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10074,15:20:00,Sunday,Male,Residential areas,Automobile,One way,No junction,Asphalt roads,Dry,Daylight,Normal
10075,14:45:00,Sunday,Male,Other,Public (> 45 seats),other,No junction,Asphalt roads,Dry,Daylight,Normal
10077,17:22:00,Tuesday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Other,Asphalt roads,Dry,Daylight,Normal
10078,10:58:00,Tuesday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10079,10:58:00,Tuesday,Male,Residential areas,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10080,14:57:00,Monday,Male,Other,Stationwagen,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10081,14:57:00,Monday,Male,Other,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
10082,14:57:00,Monday,Female,Office areas,Taxi,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10083,13:10:00,Saturday,Male,Office areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
10084,13:10:00,Saturday,Male, Church areas,Public (12 seats),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
10085,13:10:00,Saturday,Female,Other,Automobile,One way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
10086,8:10:00,Wednesday,Female,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10087,8:10:00,Wednesday,Male,Office areas,Public (13?45 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10088,12:30:00,Sunday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10089,12:30:00,Sunday,Male,Other,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10090,12:30:00,Sunday,Female,Residential areas,Lorry (11?40Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10091,12:30:00,Sunday,Female,Office areas,Motorcycle,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10092,20:01:00,Sunday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10093,20:01:00,Sunday,Male,Other,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10094,18:49:00,Thursday,Male,Other,Automobile,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
10095,20:41:00,Thursday,Male,Office areas,Other,One way,Crossing,Asphalt roads,Dry,Daylight,Normal
10096,20:41:00,Thursday,Male,Residential areas,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10097,20:41:00,Thursday,Male,Other,Taxi,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10098,20:41:00,Thursday,Male,Residential areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
10099,10:04:00,Wednesday,Male, Church areas,Long lorry,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Raining
10100,10:04:00,Wednesday,Male,Residential areas,Long lorry,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Raining
10101,10:04:00,Wednesday,Male,Office areas,Lorry (41?100Q),One way,No junction,Asphalt roads,Wet or damp,Daylight,Raining
10102,20:30:00,Wednesday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10103,20:30:00,Wednesday,Male,Other,Lorry (11?40Q),One way,Crossing,Asphalt roads,Dry,Daylight,Normal
10104,20:30:00,Wednesday,Male, Industrial areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
10105,11:15:00,Friday,Male, Church areas,Taxi,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10106,11:15:00,Friday,Male,Residential areas,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10109,16:36:00,Thursday,Male,Office areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10110,13:28:00,Monday,Male, Outside rural areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10111,13:28:00,Monday,Male, Church areas,Public (> 45 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10112,19:28:00,Friday,Male,Office areas,Lorry (11?40Q),other,Other,Asphalt roads,Dry,Daylight,Normal
10113,19:28:00,Friday,Male, Church areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Other,Asphalt roads,Dry,Daylight,Normal
10114,23:35:00,Saturday,Male,Office areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
10115,23:35:00,Saturday,Male,Office areas,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
10116,23:35:00,Saturday,Male,School areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
10117,9:01:00,Wednesday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Raining
10118,15:46:00,Thursday,Male,Office areas,Pick up upto 10Q,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
10119,15:46:00,Thursday,Male,Rural village areasOffice areas,Motorcycle,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
10120,20:10:00,Saturday,Male,Other,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10121,21:46:00,Wednesday,Male,Residential areas,Pick up upto 10Q,Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10122,21:46:00,Wednesday,Male,Office areas,Motorcycle,Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
10123,21:20:00,Saturday,Male,Office areas,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10124,21:20:00,Saturday,Male,Residential areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10125,5:49:00,Tuesday,Male,Office areas,Taxi,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Raining
10126,5:49:00,Tuesday,Male,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Raining
10128,9:35:00,Monday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10129,9:35:00,Monday,Male,Other,Public (12 seats),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10130,18:39:00,Wednesday,Female,Other,Lorry (11?40Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10131,18:39:00,Wednesday,Male,Other,Pick up upto 10Q,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10132,16:00:00,Wednesday,Male,Residential areas,Lorry (41?100Q),One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10133,16:00:00,Wednesday,Male,School areas,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10134,13:09:00,Tuesday,Male,Residential areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10135,13:09:00,Tuesday,Male,Office areas,Long lorry,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10136,20:30:00,Friday,Female, Church areas,Lorry (11?40Q),One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10137,20:30:00,Friday,Male,Other,Long lorry,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10138,19:00:00,Friday,Male,Other,Automobile,One way,No junction,Asphalt roads,Dry,Daylight,Normal
10139,12:40:00,Saturday,Female,Other,Taxi,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10140,18:12:00,Wednesday,Male,Other,Taxi,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10141,18:12:00,Wednesday,Male,Office areas,Long lorry,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10142,18:12:00,Wednesday,Male,Office areas,Lorry (11?40Q),Two-way (divided with solid lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10143,18:12:00,Wednesday,Male,Residential areas,Lorry (11?40Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10144,7:50:00,Wednesday,Male,Office areas,Long lorry,One way,No junction,Asphalt roads,Dry,Daylight,Normal
10145,7:50:00,Wednesday,Male,Residential areas,Turbo,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10146,10:16:00,Thursday,Male,Office areas,Long lorry,Undivided Two way,Other,Asphalt roads,Dry,Daylight,Normal
10147,10:16:00,Thursday,Male,Other,Long lorry,Two-way (divided with broken lines road marking),Other,Asphalt roads,Dry,Daylight,Normal
10148,23:05:00,Saturday,Male,Office areas,Public (13?45 seats),One way,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal
10149,0:47:00,Sunday,Male,School areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
10151,10:30:00,Monday,Male,Office areas,Pick up upto 10Q,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10153,13:01:00,Saturday,Male,Office areas,Stationwagen,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Raining
10155,13:01:00,Saturday,Male,Residential areas,Automobile,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Raining
10156,17:41:00,Monday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10157,17:41:00,Monday,Male, Industrial areas,Long lorry,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
10158,17:41:00,Monday,Male,Office areas,Public (13?45 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10159,17:41:00,Monday,Male,  Recreational areas,Public (13?45 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
10160,17:25:00,Friday,Male,Residential areas,Lorry (11?40Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
10161,17:25:00,Friday,Male,Residential areas,Lorry (11?40Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10162,17:25:00,Friday,Male, Church areas,Pick up upto 10Q,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10163,17:25:00,Friday,Male,Residential areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
10165,11:10:00,Sunday,Male,Other,Automobile,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Raining
10166,11:10:00,Sunday,Male,Other,Long lorry,Two-way (divided with solid lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Raining
10167,11:10:00,Sunday,Male, Church areas,Long lorry,Two-way (divided with solid lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Raining
10168,3:15:00,Saturday,Male,Other,Automobile,Two-way (divided with solid lines road marking),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
10169,3:15:00,Saturday,Male, Church areas,Stationwagen,Two-way (divided with solid lines road marking),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
10171,17:00:00,Tuesday,Male,Other,Other,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
10172,17:10:00,Friday,Male,Other,Special vehicle,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
